,0
0,0.0
1,0.0
2,-3.0517578e-05
3,0.0
4,0.0
5,0.0
6,0.0
7,-3.0517578e-05
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,-3.0517578e-05
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,3.0517578e-05
33,0.0
34,-3.0517578e-05
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,-3.0517578e-05
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,3.0517578e-05
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,3.0517578e-05
77,0.0
78,0.0
79,0.0
80,3.0517578e-05
81,3.0517578e-05
82,0.0
83,0.0
84,0.0
85,-3.0517578e-05
86,3.0517578e-05
87,3.0517578e-05
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,3.0517578e-05
96,0.0
97,0.0
98,0.0
99,3.0517578e-05
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,-3.0517578e-05
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,-3.0517578e-05
117,-3.0517578e-05
118,-3.0517578e-05
119,0.0
120,0.0
121,0.0
122,0.0
123,-3.0517578e-05
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,3.0517578e-05
134,0.0
135,3.0517578e-05
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,3.0517578e-05
143,-3.0517578e-05
144,0.0
145,3.0517578e-05
146,-3.0517578e-05
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,-3.0517578e-05
155,0.0
156,0.0
157,0.0
158,-3.0517578e-05
159,0.0
160,-3.0517578e-05
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,-3.0517578e-05
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,-3.0517578e-05
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,-3.0517578e-05
183,-3.0517578e-05
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,3.0517578e-05
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,-3.0517578e-05
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,3.0517578e-05
206,0.0
207,3.0517578e-05
208,0.0
209,0.0
210,3.0517578e-05
211,-3.0517578e-05
212,3.0517578e-05
213,0.0
214,0.0
215,0.0
216,-3.0517578e-05
217,-3.0517578e-05
218,0.0
219,0.0
220,0.0
221,-3.0517578e-05
222,0.0
223,-3.0517578e-05
224,0.0
225,0.0
226,0.0
227,-3.0517578e-05
228,0.0
229,0.0
230,0.0
231,0.0
232,3.0517578e-05
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,3.0517578e-05
240,0.0
241,3.0517578e-05
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,3.0517578e-05
249,0.0
250,0.0
251,0.0
252,3.0517578e-05
253,3.0517578e-05
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,-3.0517578e-05
263,3.0517578e-05
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,3.0517578e-05
272,0.0
273,0.0
274,-3.0517578e-05
275,0.0
276,0.0
277,0.0
278,-3.0517578e-05
279,-3.0517578e-05
280,0.0
281,0.0
282,3.0517578e-05
283,0.0
284,-3.0517578e-05
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,-3.0517578e-05
292,-3.0517578e-05
293,0.0
294,0.0
295,-3.0517578e-05
296,3.0517578e-05
297,0.0
298,3.0517578e-05
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,3.0517578e-05
306,0.0
307,0.0
308,0.0
309,-3.0517578e-05
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,3.0517578e-05
316,-3.0517578e-05
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,3.0517578e-05
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,-3.0517578e-05
334,0.0
335,0.0
336,-3.0517578e-05
337,0.0
338,0.0
339,-3.0517578e-05
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,3.0517578e-05
349,0.0
350,0.0
351,-3.0517578e-05
352,3.0517578e-05
353,0.0
354,0.0
355,-3.0517578e-05
356,-3.0517578e-05
357,0.0
358,0.0
359,0.0
360,3.0517578e-05
361,-3.0517578e-05
362,0.0
363,0.0
364,0.0
365,-3.0517578e-05
366,3.0517578e-05
367,0.0
368,0.0
369,0.0
370,3.0517578e-05
371,-3.0517578e-05
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,-3.0517578e-05
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,3.0517578e-05
395,-3.0517578e-05
396,0.0
397,0.0
398,-3.0517578e-05
399,3.0517578e-05
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,-3.0517578e-05
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,-3.0517578e-05
423,0.0
424,0.0
425,0.0
426,-3.0517578e-05
427,0.0
428,0.0
429,-3.0517578e-05
430,-3.0517578e-05
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,3.0517578e-05
437,3.0517578e-05
438,-3.0517578e-05
439,0.0
440,-3.0517578e-05
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,0.0
449,3.0517578e-05
450,0.0
451,0.0
452,0.0
453,0.0
454,-3.0517578e-05
455,3.0517578e-05
456,0.0
457,0.0
458,3.0517578e-05
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,3.0517578e-05
465,3.0517578e-05
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,-3.0517578e-05
472,0.0
473,-3.0517578e-05
